id,modified,basisOfRecord,occurrenceID,individualCount,sex,lifeStage,eventID,taxonID,scientificName,kingdom,phylum,class,order,genus,specificEpithet
FD6700FB-00CC-4D1A-9C93-0BBA3B807F9C,2019-08-08T12:37:21Z,HumanObservation,94604CF7-7465-4822-AC12-CE7CEE468838,1,Female,Adult,FD6700FB-00CC-4D1A-9C93-0BBA3B807F9C,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
FD6700FB-00CC-4D1A-9C93-0BBA3B807F9C,2019-08-08T12:37:21Z,HumanObservation,02692EFF-97B2-4B3E-97DC-A6ABE883B16D,4,unknown,Juvenile,FD6700FB-00CC-4D1A-9C93-0BBA3B807F9C,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
15D2A373-1B9B-4719-A2F5-0EF9BB76D583,2018-01-31T14:51:34Z,HumanObservation,C6318C52-EF1E-42DA-B390-5329C4C51426,1,Male,Adult,15D2A373-1B9B-4719-A2F5-0EF9BB76D583,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
15D2A373-1B9B-4719-A2F5-0EF9BB76D583,2018-01-31T14:51:34Z,HumanObservation,02447C23-08E6-4F5B-9403-E12E034D8394,1,Female,Adult,15D2A373-1B9B-4719-A2F5-0EF9BB76D583,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
15D2A373-1B9B-4719-A2F5-0EF9BB76D583,2018-02-12T11:43:00Z,HumanObservation,2D6D347F-9CA3-4466-B050-FA47914CA9BA,7,unknown,Juvenile,15D2A373-1B9B-4719-A2F5-0EF9BB76D583,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
B5F25277-811A-45BF-A478-0F4CBF14F2AF,2019-08-08T12:37:21Z,HumanObservation,E786473D-59F3-49D1-9A04-0DD29554A593,1,Female,Adult,B5F25277-811A-45BF-A478-0F4CBF14F2AF,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
11C82E72-730C-4523-A227-10268CB32AF2,2019-08-08T12:37:21Z,HumanObservation,F74DDCAD-FE36-478D-B669-94052A305F5A,1,Male,Adult,11C82E72-730C-4523-A227-10268CB32AF2,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
11C82E72-730C-4523-A227-10268CB32AF2,2019-08-08T12:37:21Z,HumanObservation,BAF795A6-65FF-40AB-AE21-A7D25DB012B1,1,Female,Adult,11C82E72-730C-4523-A227-10268CB32AF2,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
11C82E72-730C-4523-A227-10268CB32AF2,2019-08-08T12:37:21Z,HumanObservation,0D555B18-7738-4C87-B2A3-50F474DDA49A,7,unknown,Juvenile,11C82E72-730C-4523-A227-10268CB32AF2,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
9A138638-3C0B-4C15-9701-122717157690,2018-01-31T14:51:34Z,HumanObservation,4D503A81-7A8C-4A9F-B73B-23B5E9D8DAC3,1,Female,Adult,9A138638-3C0B-4C15-9701-122717157690,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
9A138638-3C0B-4C15-9701-122717157690,2018-02-12T11:43:00Z,HumanObservation,2D352505-534E-49F3-9B76-60925F37D56C,7,unknown,Juvenile,9A138638-3C0B-4C15-9701-122717157690,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
7CA30CCE-F105-4E31-AA7F-135AA2574E59,2019-08-08T12:37:21Z,HumanObservation,D69EB93D-F588-4A91-8D1C-E497FF9DC2A1,1,Female,Adult,7CA30CCE-F105-4E31-AA7F-135AA2574E59,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
7CA30CCE-F105-4E31-AA7F-135AA2574E59,2019-08-08T12:37:21Z,HumanObservation,6A80A4D9-15D5-4A39-BD5A-B05DE46604CB,4,unknown,Juvenile,7CA30CCE-F105-4E31-AA7F-135AA2574E59,https://www.gbif.org/species/2473421,Lagopus lagopus,Animalia,Chordata,Aves,Galliformes,Lagopus,lagopus
